,Unnamed: 0,block_order,block_name,stimuli,valence,random_fixation,movement,accuracy,response_time,ImpVsExp,participant,Group,Race,Gender,Duration (in seconds),ResponseId,Age,CurrentGender,Sex,RaceEthnicity,Check1_1,Political_1,Zip,Occupations,PSYID,FTBlack_1,VCNegBlack_1,VCPosBlack_1,ECBlack_Neighbors,ECBlack_WorkColleagues,ECBlack_CloseFriends,ECBlack_Married,FTWhite_1,VCNegWhite_1,VCPosWhite_1,ECWhite_Neighbors,ECWhite_WorkColleagues,ECWhite_CloseFriends,ECWhite_Married,MiniIPI_1_1,MiniIPI_1_2,MiniIPI_1_3,MiniIPI_1_4,MiniIPI_1_5,MiniIPI_2_1,MiniIPI_2_2,MiniIPI_2_3,MiniIPI_2_4,MiniIPI_2_5,MiniIPI_3_1,MiniIPI_3_2,MiniIPI_3_3,MiniIPI_3_4,MiniIPI_3_5,MiniIPI_4_1,MiniIPI_4_2,MiniIPI_4_3,MiniIPI_4_4,MiniIPI_4_5,Unclear,Comments ,expected_ir,accuracy_total,race,gender,Total RT Approach Male,Total RT Avoid Male,Total RT Approach Female,Total RT Avoid Female,Total RT Approach Black,Total RT Avoid Black,Total RT Approach White,Total RT Avoid White,Avg Total RT Approach Male,Avg Total RT Avoid Male,Avg Total RT Approach Female,Avg Total RT Avoid Female,Avg Total RT Approach Black,Avg Total RT Avoid Black,Avg Total RT Approach White,Avg Total RT Avoid White,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
388,1060,1,blkTestCatAAp,33,2,900,Avoid,1,1139,Implicit,s.8d1bd543-9c02-4bfa-ab67-a35739d6b5d7.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1842,R_1oCl76X0iquAW8x,70,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Strongly conservative,34986,Other,qn9vwALq4X,75,1,6.0,2,3,2,2,75,1,6.0,5,4,5,5,3,4,4,2,3,2,3,4,2,4,5,5,3,1,5,3,5,5,2,5,The point of the exercise.,no,0.6,0.975,white,male,6483.0,7297.0,6887.0,7303.0,6789.0,7045.0,6581.0,7555.0,648.3,729.7,765.2222222222222,730.3,678.9,704.5,731.2222222222222,755.5,4.25,4.0,3.25,4.25,1.75
427,1160,1,blkTestCatAAp,38,1,1900,Approach,1,843,Implicit,s.c87427ab-1314-4dc1-b2a9-215741c52909.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1753,R_pfLP4UgakdSiyAh,57,Male,Male,Black or African American alone,Absolutely not true,Strongly liberal,92078,Other,VkTqvYAT9c,52,1,7.0,2,None,4,3,50,3,6.0,2,5,5,5,2,5,3,1,5,3,4,5,3,4,3,3,4,3,4,3,4,5,2,5,It was unclear why the red dot blue dot exercise was performed.,No.,0.6,1.0,white,female,6838.0,7420.0,6563.0,6692.0,6697.0,6634.0,6704.0,7478.0,683.8,742.0,656.3,669.2,669.7,663.4,670.4,747.8,4.5,4.25,2.75,4.0,2.25
467,1260,1,blkTestCatAAp,59,2,1000,Avoid,1,1499,Implicit,s.8bb4b3b4-14ba-4d98-96be-8a66c93bc7d1.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1327,R_2b2FLVrbE4vPnkz,70,Female,Female,Black or African American alone,Absolutely not true,Conservative,43232,Other,pGVVYN9H98,95,1,7.0,3,None,4,4,100,1,7.0,4,None,3,4,1,4,5,3,1,1,2,5,1,1,1,3,5,2,3,2,3,5,2,4,, I really enjoyed this survey. It is the first one of this type that I have participated in. Would like to take more similar to this survey.,0.6,0.975,black,female,7791.0,8040.0,9952.0,7199.0,8840.0,7928.0,8903.0,7311.0,779.1,893.3333333333334,995.2,719.9,884.0,792.8,890.3,812.3333333333334,2.25,5.0,1.25,3.0,2.0
506,1360,1,blkTestCatAAp,48,1,2000,Approach,1,702,Implicit,s.a5528609-f9fd-4554-91fd-b641c878b70e.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,913,R_3EG81IomAEkHIsl,67,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Strongly conservative,35749,Other,kyj3MUjQyD,70,1,5.0,3,4,None,2,100,2,7.0,5,5,All,All,2,4,5,1,4,4,3,4,1,4,4,4,5,2,4,4,4,4,2,4,Nothing,None,0.6,0.75,black,male,7672.0,4666.0,3714.0,5548.0,2556.0,5070.0,8830.0,5144.0,1096.0,583.25,619.0,616.4444444444445,639.0,633.75,981.1111111111111,571.5555555555555,4.0,4.5,3.5,3.75,1.5
536,1460,1,blkTestCatAAp,56,1,1200,Approach,1,1088,Implicit,s.591baddb-79e4-4b72-8933-772ada44bc26.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,769,R_3944DARmbDBqS1b,73,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Liberal,15220,Other,TuVEzhU2xz,71,1,7.0,None,5,4,2,81,5,5.0,All,All,All,All,2,4,2,1,3,3,4,4,2,4,4,4,3,2,4,3,4,4,2,4,No,No,0.6,0.975,black,female,5499.0,6799.0,7283.0,6850.0,6280.0,7209.0,6502.0,6440.0,611.0,679.9,728.3,685.0,697.7777777777778,720.9,650.2,644.0,3.75,3.25,3.0,4.0,1.75
575,1560,1,blkTestCatAAp,47,2,1700,Avoid,1,1202,Implicit,s.d3d7d4c3-c8c8-490b-bffe-8b9f4cc9508b.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,802,R_3Hwy7N59DePj2C0,45,Female,Female,Black or African American alone,Absolutely not true,Moderate,75167,Other,GJnD4GpMOb,70,5,6.0,None,2,2,5,70,5,6.0,All,All,5,4,4,4,3,2,4,4,5,3,3,3,5,4,4,2,5,3,4,5,2,4,No,No,0.6,1.0,black,male,8581.0,6920.0,6236.0,6951.0,8239.0,7208.0,6578.0,6663.0,858.1,692.0,623.6,695.1,823.9,720.8,657.8,666.3,4.0,3.75,4.0,4.25,2.25
615,1660,1,blkTestCatAAp,63,2,1700,Avoid,1,2796,Implicit,s.43b78c91-5e90-403b-83a4-78fc02c723cb.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1410,R_2ClxPq3d7zGL9vi,52,Female,Female,Black or African American alone,Absolutely not true,Moderate,28546,Health care,mpA3qW9kRx,72,5,7.0,2,5,All,All,47,3,5.0,5,5,None,None,3,5,5,4,3,2,3,5,1,2,3,4,5,5,3,1,4,5,3,3,The study was very easy to understand,none at this time I enjoyed the questions that was asked of me,0.6,0.975,black,female,11020.0,12795.0,10943.0,13632.0,11071.0,12645.0,10892.0,13782.0,1102.0,1279.5,1094.3,1514.6666666666667,1107.1,1405.0,1089.2,1378.2,2.75,5.0,2.25,4.0,3.25
654,1760,1,blkTestCatAAp,29,2,1000,Avoid,1,483,Implicit,s.e5cc95c2-4869-489d-88b0-1c99df66bfdc.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,786,R_31t8SOV5NcP49t3,35,Female,Female,Black or African American alone,Absolutely not true,Moderate,22401,Information services,E7k9JP4SLn,51,1,4.0,3,3,3,3,51,2,4.0,3,3,3,3,1,3,2,3,5,1,2,1,1,3,1,1,4,2,3,2,1,2,3,5,no,nope,0.6,0.975,white,male,4884.0,5050.0,4927.0,5494.0,5482.0,5202.0,4329.0,5342.0,542.6666666666666,505.0,492.7,549.4,548.2,520.2,481.0,534.2,4.0,2.25,1.25,1.75,2.25
693,1860,1,blkTestCatAAp,26,1,1700,Approach,1,2732,Implicit,s.b46f3545-8661-4bea-9051-a99a1a28d4cd.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1235,R_27jItmdxybHMA9p,70,Female,Female,Black or African American alone,Absolutely not true,Liberal,37915,Other,UaNXVHtG89,99,1,6.0,5,4,5,All,92,5,6.0,2,5,3,2,2,4,5,1,4,2,3,5,2,4,3,4,5,2,5,4,4,5,3,5,no,no,0.6,1.0,white,male,13290.0,9336.0,10013.0,8391.0,11323.0,8845.0,11980.0,8882.0,1329.0,933.6,1001.3,839.1,1132.3,884.5,1198.0,888.2,4.5,5.0,2.75,3.75,2.0
733,1960,1,blkTestCatAAp,37,2,1800,Avoid,1,503,Implicit,s.4ddbd1b1-eb14-4c61-b0cc-24a741b736c7.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,634,R_bjQ9OOO3RWYH1U5,40,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,33511,Other,xFKPZfBbtG,79,5,6.0,None,None,None,None,77,6,2.0,5,4,5,2,4,4,5,4,3,3,4,2,3,2,4,5,4,5,2,2,2,1,1,1,no,no,0.6,1.0,white,female,5969.0,5344.0,6567.0,5756.0,6364.0,5463.0,6172.0,5637.0,596.9,534.4,656.7,575.6,636.4,546.3,617.2,563.7,2.0,3.0,3.25,3.75,3.25
773,2060,1,blkTestCatAAp,32,1,2000,Approach,1,680,Implicit,s.10f51810-cc8f-4d54-9a09-10c599ecde6c.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,721,R_2WPvThbfO7Ta6H2,39,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Slightly conservative,13850,Other,rC8X3XsmQz,71,4,5.0,4,3,2,2,91,2,6.0,4,4,4,4,3,4,3,3,3,2,3,2,3,4,3,3,3,3,3,2,3,3,3,3,no,no,0.6,0.975,white,male,5526.0,5859.0,7039.0,7369.0,6098.0,6527.0,6467.0,6701.0,614.0,585.9,703.9,736.9,609.8,652.7,718.5555555555555,670.1,3.25,2.75,2.5,3.25,3.0
812,2160,1,blkTestCatAAp,29,2,1300,Avoid,1,705,Implicit,s.caa819f5-3b6d-4140-95a8-910fd2e98c60.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,705,R_3CYA8S5B56I3AhH,25,Female,Female,Black or African American alone,Absolutely not true,Slightly liberal,77056,Other,AwRjFdWg5P,100,5,6.0,5,5,5,5,41,3,5.0,4,4,4,4,4,4,1,3,1,2,2,1,2,4,4,2,4,4,2,2,4,2,2,1,It was a little random when you asked me about white people all of a sudden.,None.,0.6,1.0,white,male,6112.0,5868.0,6373.0,5513.0,6345.0,5766.0,6140.0,5615.0,611.2,586.8,637.3,551.3,634.5,576.6,614.0,561.5,2.0,2.0,3.0,3.0,2.75
852,2260,1,blkTestCatAAp,45,2,1700,Avoid,1,837,Implicit,s.83ed23be-3cd1-4717-884f-9a02c52d1fab.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,752,R_1Q4IBSL44HbHkvH,26,Female,Female,Black or African American alone,Absolutely not true,Liberal,27603,Data processing,Nq2OVwRBKn,91,3,6.0,2,2,3,5,30,6,3.0,5,5,4,2,2,5,3,5,5,2,5,5,4,5,3,5,3,4,5,2,5,5,3,5,No,No,0.6,1.0,white,female,6673.0,6767.0,4854.0,5807.0,6558.0,6045.0,4969.0,6529.0,667.3,676.7,485.4,580.7,655.8,604.5,496.9,652.9,5.0,4.0,2.25,5.0,4.0
892,2360,1,blkTestCatAAp,40,1,1100,Approach,1,942,Implicit,s.b7dcc396-5b34-4bb0-943f-6200b1bc465b.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,815,R_337sj4M6KfUuoP3,19,Female,Female,Black or African American alone,Absolutely not true,Liberal,38115,Other,zUzNXm8tyg,61,3,5.0,5,5,All,3,48,3,3.0,4,4,4,4,1,4,3,1,5,2,3,3,3,4,1,4,4,2,4,2,3,5,3,5,No it was easy to understand,No besides it was very easy,0.6,0.95,white,female,5983.0,6836.0,8025.0,6902.0,6177.0,7408.0,7831.0,6330.0,664.7777777777778,683.6,802.5,766.8888888888889,686.3333333333334,740.8,783.1,703.3333333333334,4.5,3.75,1.5,3.5,2.25
930,2460,1,blkTestCatAAp,31,2,1200,Avoid,1,648,Implicit,s.0915d9af-ab23-402f-8104-6502f2fb2c44.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,904,R_0U3hmJ49Rm1Gmid,32,Female,Female,Black or African American alone,Absolutely not true,Liberal,48174,Health care,cLBm8d4mxu,100,3,6.0,All,All,All,5,50,5,4.0,5,5,None,2,3,4,3,3,3,3,3,3,4,4,3,4,4,3,3,3,3,4,3,4,no,no,0.6,0.975,white,male,5547.0,6649.0,6340.0,7151.0,6655.0,6473.0,5232.0,7327.0,616.3333333333334,664.9,634.0,715.1,665.5,647.3,581.3333333333334,732.7,3.5,3.5,3.0,3.5,3.25
969,2560,1,blkTestCatAAp,32,1,1600,Approach,1,1319,Implicit,s.9b4a4c45-ebfc-4141-9b9c-aa1f874fc092.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,857,R_3mZT9mUFDzgG9FG,50,Male,Male,Black or African American alone,Absolutely not true,Moderate,32824,Other,EDFt25kBN5,29,5,3.0,None,3,2,2,70,3,6.0,5,5,5,None,4,5,4,1,5,3,4,5,1,5,4,4,5,1,5,4,4,5,1,5,No I understood,I am Black with a Dominican Wife,0.6,0.975,white,male,7399.0,7283.0,5025.0,7179.0,5852.0,7982.0,6572.0,6480.0,739.9,728.3,558.3333333333334,717.9,650.2222222222222,798.2,657.2,648.0,5.0,4.75,3.75,4.25,1.0
1008,2660,1,blkTestCatAAp,58,1,1300,Approach,1,2807,Implicit,s.b2bbcd57-071e-4e61-a949-9e50236286e7.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,2269,R_1LjmaMhuMFjNPWx,54,Female,Female,Black or African American alone,Absolutely not true,Liberal,31907,Other,GcSS7y3F8F,100,1,6.0,All,3,All,None,70,2,5.0,2,4,None,None,4,4,4,2,2,4,4,5,2,4,4,4,5,2,5,4,4,5,1,5,Nothing at all,Great survey on personality traits.,0.6,1.0,black,female,13907.0,20253.0,23057.0,30697.0,19548.0,29802.0,17416.0,21148.0,1390.7,2025.3,2305.7,3069.7,1954.8,2980.2,1741.6,2114.8,4.0,4.75,4.0,4.0,1.75
1048,2760,1,blkTestCatAAp,52,1,1400,Approach,1,451,Implicit,s.fb4ce190-f151-4336-998b-18e0d10ef09d.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,842,R_3Jw353ld4yZaulQ,46,Female,Female,Black or African American alone,Absolutely not true,Moderate,27405,Other,YPxVJFx5TF,75,4,4.0,All,All,All,All,75,2,4.0,4,4,4,3,4,4,3,2,4,4,3,3,4,3,3,3,4,2,3,2,3,4,2,4,"The exercise was a little different, but that was it.","No, I don't.",0.6,0.975,black,male,4658.0,6293.0,4785.0,6182.0,4615.0,5717.0,4828.0,6758.0,465.8,629.3,478.5,686.8888888888889,461.5,635.2222222222222,482.8,675.8,3.5,3.5,3.25,3.25,2.5
1087,2860,1,blkTestCatAAp,34,1,1500,Approach,1,364,Implicit,s.6b03b941-6c4f-4c12-8c1e-22e555ef903f.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1092,R_21gFSX34SPOmhV9,25,Female,Female,Black or African American alone,Absolutely not true,Strongly liberal,11237,Food services,tcB7RzjuqH,69,4,6.0,All,All,All,All,34,6,3.0,3,5,None,None,3,5,2,5,5,5,5,2,4,5,2,3,3,5,5,2,4,3,3,5,Nope.,No.,0.6,0.9,white,male,4411.0,4056.0,4142.0,3882.0,4236.0,4374.0,4317.0,3564.0,490.1111111111111,450.6666666666667,414.2,485.25,470.6666666666667,486.0,431.7,445.5,5.0,2.5,3.0,4.25,4.25
1123,2960,1,blkTestCatAAp,43,2,1200,Avoid,1,895,Implicit,s.c7ca72dc-62e1-4e46-9cfb-d634563df8ea.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,747,R_3nIOQYM15hg3y1Y,33,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Slightly liberal,80117,Entertainment,h7K5GjLZ9R,63,2,6.0,2,None,None,None,62,2,6.0,4,All,All,All,1,4,4,2,4,1,3,4,2,4,1,4,3,5,2,1,4,4,2,5,No nothing,,0.6,1.0,white,female,5876.0,5754.0,6429.0,5932.0,6320.0,5670.0,5985.0,6016.0,587.6,575.4,642.9,593.2,632.0,567.0,598.5,601.6,3.75,3.75,1.0,3.75,2.75
1163,3060,1,blkTestCatAAp,33,2,1700,Avoid,1,968,Implicit,s.30325c6d-a0a3-4574-9e0a-624b83962961.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1032,R_24HO3oSj1ybVENw,22,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Conservative,59901,Entertainment,JZpVqM4KGY,100,1,5.0,None,None,3,None,100,1,5.0,All,All,All,All,2,5,4,3,4,4,4,4,2,3,2,5,4,2,4,4,4,4,4,4,I'm curious what the purpose was. It took a minute to get a hang of the process,Not at this time,0.6,0.975,white,male,7469.0,7379.0,8927.0,7660.0,8666.0,7366.0,7730.0,7673.0,829.8888888888889,737.9,892.7,766.0,866.6,736.6,858.8888888888889,767.3,3.75,4.0,3.0,4.5,2.75
1202,3160,1,blkTestCatAAp,52,1,1200,Approach,1,633,Implicit,s.74065d17-88a3-4012-b2bd-0fae19973230.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1750,R_1FlVNf9GPALNkIY,34,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,49203,Other,ZfxfPtGFpq,43,2,5.0,4,2,2,2,62,5,3.0,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,No,No,0.6,0.975,black,male,7167.0,4714.0,5219.0,5047.0,6158.0,4994.0,6228.0,4767.0,716.7,471.4,579.8888888888889,504.7,615.8,499.4,692.0,476.7,3.75,4.0,4.0,4.0,3.75
1241,3260,1,blkTestCatAAp,35,2,1600,Avoid,1,527,Implicit,s.78f2ab15-e2e7-4f12-b133-2338d33d3514.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,778,R_1etq0rRLPh4vNK8,27,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Strongly conservative,29172,Other,jPR63QaEpE,50,4,5.0,3,5,3,2,50,4,5.0,All,All,All,All,4,5,5,4,4,4,3,4,4,4,4,4,4,3,2,4,4,4,3,4,No,No,0.6,1.0,white,male,5096.0,7733.0,5530.0,6130.0,5693.0,7374.0,4933.0,6489.0,509.6,773.3,553.0,613.0,569.3,737.4,493.3,648.9,3.5,4.25,4.0,4.0,3.5
