,Unnamed: 0,block_order,block_name,stimuli,valence,random_fixation,movement,accuracy,response_time,ImpVsExp,participant,Group,Race,Gender,Duration (in seconds),ResponseId,Age,CurrentGender,Sex,RaceEthnicity,Check1_1,Political_1,Zip,Occupations,PSYID,FTBlack_1,VCNegBlack_1,VCPosBlack_1,ECBlack_Neighbors,ECBlack_WorkColleagues,ECBlack_CloseFriends,ECBlack_Married,FTWhite_1,VCNegWhite_1,VCPosWhite_1,ECWhite_Neighbors,ECWhite_WorkColleagues,ECWhite_CloseFriends,ECWhite_Married,MiniIPI_1_1,MiniIPI_1_2,MiniIPI_1_3,MiniIPI_1_4,MiniIPI_1_5,MiniIPI_2_1,MiniIPI_2_2,MiniIPI_2_3,MiniIPI_2_4,MiniIPI_2_5,MiniIPI_3_1,MiniIPI_3_2,MiniIPI_3_3,MiniIPI_3_4,MiniIPI_3_5,MiniIPI_4_1,MiniIPI_4_2,MiniIPI_4_3,MiniIPI_4_4,MiniIPI_4_5,Unclear,Comments ,reindex,accuracy_total,race,gender,Total RT Approach Male,Total RT Avoid Male,Total RT Approach Female,Total RT Avoid Female,Total RT Approach Black,Total RT Avoid Black,Total RT Approach White,Total RT Avoid White,Avg Total RT Approach Male,Avg Total RT Avoid Male,Avg Total RT Approach Female,Avg Total RT Avoid Female,Avg Total RT Approach Black,Avg Total RT Avoid Black,Avg Total RT Approach White,Avg Total RT Avoid White,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
386,1010,1,blkTestCatAAp,29,2,1200,Approach,1,5702,Implicit,s.6ac12264-eeb9-45e1-bf10-a35779f16738.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1929,R_1E0VAQtP1L9Hpnl,73,Female,Female,Black or African American alone,Absolutely not true,Liberal,48221,Other,mQ2LcJVDMJ,81,2,6.0,5,None,5,5,70,3,4.0,3,None,3,2,3,4,5,1,3,3,4,5,1,3,3,4,5,1,4,3,4,5,3,4,"No, I knew exactly what to do.",No,,1.0,white,male,34818.0,28348.0,27356.0,31083.0,28169.0,30941.0,34005.0,28490.0,3481.8,2834.8,2735.6,3108.3,2816.9,3094.1,3400.5,2849.0,3.5,5.0,3.0,4.0,1.5
426,1110,1,blkTestCatAAp,50,1,1500,Avoid,1,402,Implicit,s.369a20cd-b389-4390-a690-8be2dcadc13f.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,820,R_25EGP3TypHYE4k4,49,Male,Male,Black or African American alone,Absolutely not true,Strongly liberal,30071,Information services,RmAm3Ep7EZ,100,3,6.0,All,All,All,All,100,2,6.0,5,All,All,All,3,5,2,3,4,3,4,2,3,4,4,4,3,2,4,3,4,4,5,5,Sometimes I was wondering where it was going.,No.,,1.0,black,male,5422.0,4911.0,6131.0,5159.0,5779.0,4920.0,5774.0,5150.0,542.2,491.1,613.1,515.9,577.9,492.0,577.4,515.0,4.25,2.75,3.25,4.25,3.25
466,1210,1,blkTestCatAAp,56,1,1700,Avoid,1,1494,Implicit,s.de399947-67b7-4237-b984-943de5c95b7b.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,765,R_1n1okCjlsaZzCem,42,Female,Female,Black or African American alone,Absolutely not true,Moderate,39212,Other,MVpVKzS9G9,81,3,5.0,4,2,3,4,83,2,6.0,3,4,4,None,2,4,5,1,4,2,5,4,2,3,4,3,5,2,2,2,4,5,3,4,There was nothing unclear,no additional comments,,0.975,black,female,7103.0,6796.0,5254.0,10658.0,5729.0,8379.0,6628.0,9075.0,710.3,679.6,583.7777777777778,1065.8,636.5555555555555,837.9,662.8,907.5,3.25,4.75,2.5,4.0,2.0
505,1310,1,blkTestCatAAp,50,1,1800,Avoid,1,2304,Implicit,s.d7670420-8850-4fe3-9686-fd9aaf6ba8cb.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1364,R_2CP3RGAGkGOLP5A,68,Female,Female,Black or African American alone,Absolutely not true,Moderate,60612,Prefer not to say,3vFX8dxVS7,100,2,5.0,All,5,All,5,71,1,6.0,4,3,2,3,2,4,2,3,3,1,3,3,4,3,3,4,4,3,4,3,4,4,4,3,NO,No,,1.0,black,male,8360.0,9976.0,9290.0,8265.0,9027.0,10946.0,8623.0,7295.0,836.0,997.6,929.0,826.5,902.7,1094.6,862.3,729.5,3.25,3.25,2.25,3.75,3.5
545,1410,1,blkTestCatAAp,26,1,1200,Avoid,1,1113,Implicit,s.6d3027c5-859a-48d1-a162-42f59db057cb.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,729,R_2XcFY5qugPTnMm1,36,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,30012,Utilities,NKgWWUaVnM,73,1,7.0,4,5,4,None,77,1,5.0,4,4,All,None,3,4,5,2,5,2,4,2,2,3,3,4,4,2,4,2,4,3,2,4,NO,NO,,0.85,white,male,5540.0,8127.0,7992.0,4838.0,6434.0,7462.0,7098.0,5503.0,791.4285714285714,903.0,799.2,604.75,804.25,746.2,788.6666666666666,786.1428571428571,4.0,3.5,2.5,4.0,2.0
579,1510,1,blkTestCatAAp,60,1,900,Avoid,1,2091,Implicit,s.645d31cc-a391-42b5-92b4-c61abc0deae1.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1385,R_3gMGC1oG46uqyzj,55,Female,Female,Black or African American alone,Absolutely not true,Moderate,85015,Other,EFu9sRRLg2,95,2,5.0,2,4,5,3,50,5,3.0,3,4,2,2,3,3,4,3,3,5,2,4,2,3,2,4,5,3,3,3,2,4,2,3,No,I think it's a great study,,0.95,black,female,14210.0,13193.0,10817.0,15048.0,14529.0,12156.0,10498.0,16085.0,1421.0,1319.3,1201.888888888889,1672.0,1452.9,1350.6666666666667,1166.4444444444443,1608.5,3.0,4.25,3.25,2.75,2.5
617,1610,1,blkTestCatAAp,33,2,1000,Approach,1,2466,Implicit,s.42d99cc5-ceb0-42ec-ae82-5eaba5205df2.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1497,R_cMZJP1UYTUKWW7n,62,Male,Male,Black or African American alone,Absolutely not true,Slightly liberal,43230,Other,Kdg22D5TSc,100,1,7.0,All,All,All,All,100,1,7.0,3,5,3,3,2,5,4,4,4,3,4,4,2,3,3,3,5,2,4,3,4,4,2,4,No.  Everything was pretty easy to follow and understand.,Thank you for considering my participation.  ,,0.95,white,male,10578.0,7366.0,8981.0,9376.0,9235.0,7521.0,10324.0,9221.0,1322.25,736.6,898.1,937.6,1026.111111111111,752.1,1147.111111111111,922.1,3.75,4.25,2.75,4.0,2.5
655,1710,1,blkTestCatAAp,29,2,900,Approach,1,1786,Implicit,s.7c6466a6-4aee-4355-b970-00c05d4411e6.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1113,R_1IlPCm0fgu56gcP,38,Female,Female,Black or African American alone,Absolutely not true,Slightly conservative,76040,Finance,cfHYF5KpZn,30,3,5.0,3,4,5,5,81,2,6.0,3,5,3,4,3,5,4,2,3,1,4,5,1,4,2,4,5,4,4,1,2,4,4,4,NO,NO,,0.95,white,male,8935.0,8779.0,9644.0,6506.0,7235.0,7647.0,11344.0,7638.0,992.7777777777778,877.9,964.4,722.8888888888889,803.8888888888889,849.6666666666666,1134.4,763.8,3.75,4.5,1.75,3.75,2.75
693,1810,1,blkTestCatAAp,60,1,1400,Avoid,1,812,Implicit,s.410081bc-239d-4a97-b020-83caff68c59a.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1740,R_3n8YylUlZsd8gr4,36,Female,Female,Black or African American alone,Absolutely not true,Slightly liberal,30213,Other,LDV3nKvUY4,100,1,7.0,5,All,All,All,30,1,5.0,None,5,3,None,4,4,3,1,4,3,4,5,2,4,4,4,4,2,3,3,4,5,2,4,"Yes, I wasn't too sure about the questions you just asked about the neighbors and colleagues. I'm not sure I answered correctly but I did answer to the best of my ability.
Additionally, When doing the ""move forward"" and ""move backward"" I wasn't sure (unless I missed it in reading the instructions) whether I was to tap the ""J"" button when I saw the ""o"" and the ""+"" sign.  ",It was an interesting study and much better than some of the ones I've been doing recently. I wish I knew what you are really looking for in this study as you first asked me to hit buttons and then you went in a totally different direction by asking questions about feelings about racial groups. I really enjoyed participating in it though. ,,0.975,black,female,9408.0,10743.0,10468.0,12084.0,9840.0,12406.0,10036.0,10421.0,1045.3333333333333,1074.3,1046.8,1208.4,984.0,1240.6,1115.111111111111,1042.1,3.75,4.25,3.5,4.0,1.75
732,1910,1,blkTestCatAAp,37,2,1200,Approach,1,596,Implicit,s.91a73e81-d74d-4699-9223-87828a21650a.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1149,R_2zA3C8ZHjC7NrYW,55,Male,Male,Black or African American alone,Absolutely not true,Slightly liberal,23694,Other,dT8VNnu6Pe,92,2,6.0,5,2,5,5,60,4,5.0,3,5,3,None,2,4,5,1,4,2,4,5,2,4,2,4,5,2,4,3,4,5,2,4,,,,1.0,white,female,7472.0,8510.0,7795.0,7415.0,7751.0,7295.0,7516.0,8630.0,747.2,851.0,779.5,741.5,775.1,729.5,751.6,863.0,4.0,5.0,2.25,4.0,1.75
772,2011,1,blkTestCatAAp,38,1,1200,Avoid,1,750,Implicit,s.89a5d44b-60aa-48d5-b86f-bc04ca849dce.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,692,R_3PRD6Wuw0kGm75m,49,Male,Male,Black or African American alone,Absolutely not true,Strongly liberal,1532,Other,XB6qDx3Tty,89,3,6.0,2,4,5,All,81,5,6.0,5,2,2,None,1,5,2,5,5,2,5,1,4,5,5,5,5,5,5,4,5,5,5,5,everything was fine,none,,0.975,white,female,6666.0,6034.0,8582.0,7944.0,8071.0,6524.0,7177.0,7454.0,666.6,670.4444444444445,858.2,794.4,807.1,724.8888888888889,717.7,745.4,5.0,3.25,3.0,5.0,4.75
811,2110,1,blkTestCatAAp,40,1,1600,Avoid,1,680,Implicit,s.b41e42a3-1f5e-4967-ac2b-e64b67dedcac.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1056,R_1EiD6hk1xVE75MQ,42,Female,Female,Black or African American alone,Absolutely not true,Moderate,29501,Other,AhUcnan3h3,50,1,7.0,4,All,All,All,49,1,7.0,4,None,4,4,4,5,5,1,3,3,1,5,1,5,3,5,4,1,5,1,5,5,5,5,No,No,,1.0,white,female,8484.0,8881.0,10347.0,9251.0,10089.0,9475.0,8742.0,8657.0,848.4,888.1,1034.7,925.1,1008.9,947.5,874.2,865.7,4.5,4.75,2.75,4.0,2.0
851,2210,1,blkTestCatAAp,58,1,1000,Avoid,1,420,Implicit,s.627c93bf-42da-4f85-b9c0-b59924064b22.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,955,R_245A0V2e7Nm1se4,65,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Conservative,54935,Information services,SJMOfxH98K,76,5,5.0,4,4,4,3,88,6,6.0,All,All,All,All,1,3,3,1,3,2,3,5,2,5,4,4,4,2,5,3,3,5,2,4,,,,0.975,black,female,5206.0,5534.0,5823.0,5208.0,6183.0,5493.0,4846.0,5249.0,578.4444444444445,553.4,582.3,520.8,687.0,549.3,484.6,524.9,4.25,4.25,2.5,3.25,1.75
890,2310,1,blkTestCatAAp,36,1,800,Avoid,1,677,Implicit,s.d108e12c-e99c-441b-893c-403f9b2b7c2b.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,859,R_2tckgLejoeouSO8,48,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Slightly conservative,17238,Other,QNyknyhdO9,50,1,2.0,None,4,2,2,51,3,5.0,All,All,All,5,2,4,4,2,3,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,No,No,,1.0,white,female,8026.0,7562.0,9467.0,7322.0,7945.0,8189.0,9548.0,6695.0,802.6,756.2,946.7,732.2,794.5,818.9,954.8,669.5,3.0,4.0,2.25,3.25,2.75
930,2410,1,blkTestCatAAp,39,2,1800,Approach,1,1057,Implicit,s.36457e4b-ea06-4203-9702-233af6e8618e.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1336,R_2EhkthZPVz3jvjJ,59,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Slightly liberal,20913,Food services,t6aDAhtE6c,91,1,7.0,All,All,All,3,90,1,7.0,All,All,All,4,1,4,3,1,4,4,3,4,2,4,4,4,5,2,4,4,5,4,1,5,no,no,,0.975,white,female,7710.0,8594.0,9363.0,8206.0,7752.0,8560.0,9321.0,8240.0,771.0,859.4,1040.3333333333333,820.6,861.3333333333334,856.0,932.1,824.0,4.25,4.0,3.25,4.0,1.5
969,2510,1,blkTestCatAAp,28,1,1200,Avoid,1,748,Implicit,s.2cb5eee8-baab-443b-88c5-1ba67495b553.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,806,R_2wEtyELCk6f3urG,41,Male,Male,Black or African American alone,Absolutely not true,Slightly liberal,27330,Other,fNLYkBgJrU,70,5,5.0,4,None,2,2,73,4,5.0,2,None,2,4,1,4,3,1,5,1,3,2,2,4,2,3,4,1,4,2,3,4,2,3,,,,0.95,white,male,4812.0,5116.0,5458.0,4754.0,4729.0,4541.0,5541.0,5329.0,534.6666666666666,511.6,545.8,528.2222222222222,525.4444444444445,504.55555555555554,554.1,532.9,4.0,3.25,1.5,3.25,1.5
1007,2610,1,blkTestCatAAp,59,2,1200,Approach,1,1668,Implicit,s.fe8e18b1-7afa-425d-9e75-9ec13384142d.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1076,R_1Qlym2pudCTEyiz,73,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Slightly liberal,98226,Other,QN7zveVanO,60,3,6.0,4,3,4,2,51,4,5.0,4,None,4,5,1,4,2,2,5,3,3,2,4,5,5,4,3,2,5,3,5,4,1,5,No,No,,1.0,black,female,10489.0,10966.0,12028.0,9823.0,10691.0,9305.0,11826.0,11484.0,1048.9,1096.6,1202.8,982.3,1069.1,930.5,1182.6,1148.4,5.0,2.75,3.0,4.0,2.25
1047,2710,1,blkTestCatAAp,37,2,1500,Approach,1,744,Implicit,s.06345cef-2aec-4b8a-83d1-4bc31e43a8ed.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,935,R_24jUOWdrJLF4xkZ,50,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Slightly conservative,33761,Other,g2zFDNAutw,79,3,6.0,3,4,4,4,81,3,4.0,All,All,All,All,2,5,5,3,3,2,3,4,2,3,2,4,5,2,3,2,4,4,2,3,no.,no,,0.975,white,female,7142.0,6044.0,6177.0,5729.0,5808.0,6231.0,7511.0,5542.0,714.2,604.4,617.7,636.5555555555555,580.8,623.1,751.1,615.7777777777778,3.0,4.5,2.0,4.0,2.25
1086,2810,1,blkTestCatAAp,38,1,1000,Avoid,1,460,Implicit,s.d0426507-70a7-4674-b476-fd51604beae9.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1571,R_2bVtnnQiCtl5U5S,49,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,97322,Other,59gHDOn4LD,72,2,5.0,None,3,None,None,70,3,6.0,4,4,All,All,1,4,2,2,4,2,4,2,3,4,4,4,4,2,5,2,3,2,4,4,"The focus of the study was unclear, but how to complete it and what was being asked was not.",,,0.975,white,female,5111.0,4810.0,4946.0,4780.0,5472.0,4680.0,4585.0,4910.0,511.1,481.0,549.5555555555555,478.0,547.2,468.0,509.44444444444446,491.0,4.25,2.5,2.25,3.75,2.75
1125,2911,1,blkTestCatAAp,42,1,1800,Avoid,1,490,Implicit,s.8bb04e53-13f5-4f25-8406-770beae57245.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1248,R_1iedemvzLentL1g,49,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Conservative,22408,Prefer not to say,VNm2n8eOsL,77,4,5.0,4,3,5,2,99,1,7.0,3,All,5,4,2,5,4,4,1,4,2,4,5,5,2,3,5,3,4,4,2,1,4,1,not really,no comment,,0.75,white,female,3331.0,4641.0,3324.0,3775.0,3101.0,3232.0,3554.0,5184.0,555.1666666666666,515.6666666666666,474.85714285714283,471.875,443.0,461.7142857142857,592.3333333333334,518.4,2.75,3.5,3.0,3.0,4.0
1155,3010,1,blkTestCatAAp,35,2,1800,Approach,1,478,Implicit,s.9c452283-7c22-4e9d-8248-64480bc387cf.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,684,R_1HpmMbpONibWQE5,18,Female,Female,Black or African American alone,Absolutely not true,Liberal,20745,Other,nAVDgNEpDT,82,1,6.0,2,4,5,None,75,3,6.0,5,5,3,None,2,3,2,4,3,1,3,3,4,3,2,3,3,2,4,1,2,3,4,3,No not really,My hand hurts,,0.925,white,male,5011.0,4112.0,4372.0,5080.0,4793.0,5138.0,4590.0,4054.0,501.1,456.8888888888889,485.77777777777777,564.4444444444445,479.3,513.8,510.0,506.75,3.25,2.75,1.5,2.75,3.5
1192,3110,1,blkTestCatAAp,43,2,1700,Approach,1,1718,Implicit,s.0da39d72-2b2a-4e7f-8a7b-c014bf6f2eb9.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,849,R_1jPvnY7vEg1SEe5,35,Female,Female,Black or African American alone,Absolutely not true,Liberal,20707,Other,AWaAXdJEjs,91,1,6.0,3,5,5,5,18,2,3.0,None,3,2,None,1,4,1,5,2,1,2,2,2,2,1,2,4,5,1,1,3,2,2,2,Nothing was unclear about the study.,I don't have any additional comments about the study.,,0.975,white,female,5447.0,6259.0,7173.0,5700.0,6033.0,4766.0,6587.0,7193.0,544.7,695.4444444444445,717.3,570.0,603.3,529.5555555555555,658.7,719.3,1.75,2.25,1.0,2.75,3.5
1231,3210,1,blkTestCatAAp,47,2,1400,Approach,1,1317,Implicit,s.43b08f4f-c7d2-446d-abfc-8847e70cb38d.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,926,R_3lM8q5FLvdbRmHA,51,Female,Female,Black or African American alone,Absolutely not true,Moderate,94509,Other,yKCmOXEBqc,100,5,6.0,5,5,5,All,40,5,4.0,4,None,None,None,3,5,4,3,1,3,4,3,3,3,3,4,5,2,3,2,3,4,3,3,not really,none at all,,1.0,black,male,6920.0,9518.0,6573.0,9412.0,6455.0,9374.0,7038.0,9556.0,692.0,951.8,657.3,941.2,645.5,937.4,703.8,955.6,2.5,4.0,2.75,4.0,2.75
